Start time: 1716937837849
[2024-05-28 19:10:39.046608] nuttcp-t: v8.1.4: socket
[2024-05-28 19:10:39.047071] nuttcp-t: buflen=1400, nstream=1, port=5002 udp -> 35.245.244.238
[2024-05-28 19:10:39.047113] nuttcp-t: time limit = 120.00 seconds
[2024-05-28 19:10:39.047145] nuttcp-t: rate limit = 300.000 Mbps (aggregate), 26785 pps
[2024-05-28 19:10:39.047174] nuttcp-t: send window size = 229376, receive window size = 229376
[2024-05-28 19:10:39.047204] nuttcp-t: available send window = 172032, available receive window = 172032
[2024-05-28 19:10:39.047235] nuttcp-r: v8.1.4: socket
[2024-05-28 19:10:39.047263] nuttcp-r: buflen=1400, nstream=1, port=5002 udp
[2024-05-28 19:10:39.047317] nuttcp-r: interval reporting every 0.50 seconds
[2024-05-28 19:10:39.047359] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-05-28 19:10:39.047387] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-05-28 19:11:30.552278]     0.5140 MB /   0.50 sec =    8.6238 Mbps     0 /   385 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:31.005138]     0.6956 MB /   0.50 sec =   11.6699 Mbps     0 /   521 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:31.703784]     0.5608 MB /   0.50 sec =    9.4088 Mbps     0 /   420 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:32.015093]     0.6248 MB /   0.50 sec =   10.4838 Mbps     0 /   468 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:32.607291]     0.5154 MB /   0.50 sec =    8.6456 Mbps     0 /   386 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:33.007163]     0.3792 MB /   0.50 sec =    6.3616 Mbps     0 /   284 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:33.616336]     0.3498 MB /   0.50 sec =    5.8690 Mbps     0 /   262 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:34.072002]     0.4112 MB /   0.50 sec =    6.8987 Mbps     0 /   308 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:34.559362]     0.3765 MB /   0.50 sec =    6.3172 Mbps     0 /   282 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:35.063137]     0.4913 MB /   0.50 sec =    8.2436 Mbps     0 /   368 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:35.573162]     0.4313 MB /   0.50 sec =    7.2351 Mbps     0 /   323 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:36.076290]     0.4339 MB /   0.50 sec =    7.2796 Mbps     0 /   325 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:36.567277]     0.4620 MB /   0.50 sec =    7.7505 Mbps     0 /   346 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:37.072558]     0.5541 MB /   0.50 sec =    9.2956 Mbps     0 /   415 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:37.523748]     0.4593 MB /   0.50 sec =    7.7066 Mbps     0 /   344 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:38.079302]     0.3939 MB /   0.50 sec =    6.6074 Mbps     0 /   295 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:38.573354]     0.4726 MB /   0.50 sec =    7.9294 Mbps     0 /   354 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:39.075282]     0.3752 MB /   0.50 sec =    6.2946 Mbps     0 /   281 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:39.630860]     0.4433 MB /   0.50 sec =    7.4371 Mbps     0 /   332 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:40.090187]     0.3471 MB /   0.50 sec =    5.8236 Mbps     0 /   260 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:40.576203]     0.3485 MB /   0.50 sec =    5.8464 Mbps     0 /   261 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:41.029037]     0.4219 MB /   0.50 sec =    7.0786 Mbps     0 /   316 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:41.531405]     0.4539 MB /   0.50 sec =    7.6161 Mbps     0 /   340 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:42.164072]     0.4553 MB /   0.50 sec =    7.6379 Mbps     0 /   341 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:42.615444]     0.4393 MB /   0.50 sec =    7.3682 Mbps     0 /   329 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:43.020090]     0.4179 MB /   0.50 sec =    7.0127 Mbps     0 /   313 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:43.524787]     0.5821 MB /   0.50 sec =    9.7664 Mbps     0 /   436 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:44.075399]     0.4873 MB /   0.50 sec =    8.1762 Mbps     0 /   365 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:44.565671]     0.4539 MB /   0.50 sec =    7.6158 Mbps     0 /   340 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:45.072271]     0.4927 MB /   0.50 sec =    8.2656 Mbps     0 /   369 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:45.523364]     0.4419 MB /   0.50 sec =    7.4146 Mbps     0 /   331 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:46.079191]     0.4553 MB /   0.50 sec =    7.6382 Mbps     0 /   341 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:46.536295]     0.4566 MB /   0.50 sec =    7.6608 Mbps     0 /   342 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:47.077040]     0.4433 MB /   0.50 sec =    7.4367 Mbps     0 /   332 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:47.529490]     0.4112 MB /   0.50 sec =    6.8993 Mbps     0 /   308 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:48.085139]     0.4299 MB /   0.50 sec =    7.2129 Mbps     0 /   322 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:48.627240]     0.3124 MB /   0.50 sec =    5.2415 Mbps     0 /   234 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:49.027622]     0.3231 MB /   0.50 sec =    5.4210 Mbps     0 /   242 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:49.583152]     0.3498 MB /   0.50 sec =    5.8688 Mbps     0 /   262 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:50.097380]     0.4780 MB /   0.50 sec =    8.0192 Mbps     0 /   358 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:50.548104]     0.4593 MB /   0.50 sec =    7.7053 Mbps     0 /   344 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:51.036009]     0.4566 MB /   0.50 sec =    7.6613 Mbps     0 /   342 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:51.536172]     0.5180 MB /   0.50 sec =    8.6914 Mbps     0 /   388 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:52.040148]     0.4620 MB /   0.50 sec =    7.7500 Mbps     0 /   346 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:52.631129]     0.3525 MB /   0.50 sec =    5.9134 Mbps     0 /   264 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:53.032279]     0.4633 MB /   0.50 sec =    7.7729 Mbps     0 /   347 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:53.536375]     0.4553 MB /   0.50 sec =    7.6384 Mbps     0 /   341 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:54.043514]     0.4339 MB /   0.50 sec =    7.2800 Mbps     0 /   325 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:54.547012]     0.4660 MB /   0.50 sec =    7.8176 Mbps     0 /   349 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:55.087253]     0.4206 MB /   0.50 sec =    7.0559 Mbps     0 /   315 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:55.544016]     0.4099 MB /   0.50 sec =    6.8768 Mbps     0 /   307 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:56.099126]     0.4673 MB /   0.50 sec =    7.8406 Mbps     0 /   350 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:56.552712]     0.4566 MB /   0.50 sec =    7.6603 Mbps     0 /   342 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:57.043108]     0.4139 MB /   0.50 sec =    6.9440 Mbps     0 /   310 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:57.544422]     0.4459 MB /   0.50 sec =    7.4821 Mbps     0 /   334 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:58.051733]     0.4326 MB /   0.50 sec =    7.2570 Mbps     0 /   324 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:58.505030]     0.3939 MB /   0.50 sec =    6.6081 Mbps     0 /   295 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:59.045101]     0.4446 MB /   0.50 sec =    7.4593 Mbps     0 /   333 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:59.550534]     0.4139 MB /   0.50 sec =    6.9443 Mbps     0 /   310 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:12:00.052266]     0.4646 MB /   0.50 sec =    7.7948 Mbps     0 /   348 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:12:00.593667]     0.4339 MB /   0.50 sec =    7.2800 Mbps     0 /   325 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:12:01.046944]     0.4326 MB /   0.50 sec =    7.2577 Mbps     0 /   324 ~drop/pkt  0.00 ~%loss
