Start time: 1716924209525
[2024-05-28 15:23:53.185884] Connecting to host 35.245.244.238, port 5202
[2024-05-28 15:23:53.186516] Reverse mode, remote host 35.245.244.238 is sending
[2024-05-28 15:23:53.186561] [  5] local 10.45.167.251 port 54356 connected to 35.245.244.238 port 5202
[2024-05-28 15:23:53.186594] [ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[2024-05-28 15:24:42.187191] [  5]  62.50-63.00  sec  11.4 MBytes   191 Mbits/sec  0.579 ms  13727/22247 (62%)  
[2024-05-28 15:24:42.187230] [  5]  63.00-63.50  sec  11.6 MBytes   195 Mbits/sec  0.026 ms  13426/22143 (61%)  
[2024-05-28 15:24:42.187269] [  5]  63.50-64.00  sec  12.8 MBytes   214 Mbits/sec  0.246 ms  13496/23046 (59%)  
[2024-05-28 15:24:42.187307] [  5]  64.00-64.50  sec  12.5 MBytes   209 Mbits/sec  0.030 ms  12677/22003 (58%)  
[2024-05-28 15:24:42.187384] [  5]  64.50-65.00  sec  13.8 MBytes   231 Mbits/sec  0.124 ms  11980/22296 (54%)  
[2024-05-28 15:24:42.187429] [  5]  65.00-65.50  sec  13.7 MBytes   229 Mbits/sec  0.295 ms  12054/22279 (54%)  
[2024-05-28 15:24:42.187469] [  5]  65.50-66.00  sec  13.1 MBytes   220 Mbits/sec  0.029 ms  12731/22561 (56%)  
[2024-05-28 15:24:42.187507] [  5]  66.00-66.50  sec  13.6 MBytes   228 Mbits/sec  0.028 ms  11998/22160 (54%)  
[2024-05-28 15:24:42.187545] [  5]  66.50-67.00  sec  12.7 MBytes   213 Mbits/sec  0.414 ms  12664/22174 (57%)  
[2024-05-28 15:24:42.187584] [  5]  67.00-67.50  sec  12.9 MBytes   217 Mbits/sec  0.026 ms  12411/22089 (56%)  
[2024-05-28 15:24:42.187621] [  5]  67.50-68.00  sec  13.2 MBytes   222 Mbits/sec  0.276 ms  12793/22684 (56%)  
[2024-05-28 15:24:42.187661] [  5]  68.00-68.50  sec  13.7 MBytes   230 Mbits/sec  0.050 ms  11925/22180 (54%)  
[2024-05-28 15:24:42.187700] [  5]  68.50-69.00  sec  13.0 MBytes   218 Mbits/sec  0.028 ms  12907/22619 (57%)  
[2024-05-28 15:24:42.187740] [  5]  69.00-69.50  sec  13.9 MBytes   234 Mbits/sec  0.071 ms  11897/22325 (53%)  
[2024-05-28 15:24:42.187779] [  5]  69.50-70.00  sec  13.8 MBytes   231 Mbits/sec  0.031 ms  12063/22393 (54%)  
[2024-05-28 15:24:42.187818] [  5]  70.00-70.50  sec  13.2 MBytes   222 Mbits/sec  0.040 ms  12208/22130 (55%)  
[2024-05-28 15:24:42.187856] [  5]  70.50-71.00  sec  13.3 MBytes   223 Mbits/sec  0.107 ms  12474/22421 (56%)  
[2024-05-28 15:24:42.187902] [  5]  71.00-71.50  sec  14.0 MBytes   235 Mbits/sec  0.031 ms  11823/22318 (53%)  
[2024-05-28 15:25:06.685846] [  5]  71.50-72.00  sec  13.0 MBytes   218 Mbits/sec  0.200 ms  12738/22471 (57%)  
[2024-05-28 15:25:06.686286] [  5]  72.00-72.50  sec  13.8 MBytes   231 Mbits/sec  0.032 ms  11845/22163 (53%)  
[2024-05-28 15:25:06.686427] [  5]  72.50-73.00  sec  13.8 MBytes   232 Mbits/sec  0.069 ms  12010/22365 (54%)  
[2024-05-28 15:25:06.686540] [  5]  73.00-73.50  sec  13.0 MBytes   218 Mbits/sec  0.059 ms  12510/22220 (56%)  
[2024-05-28 15:25:06.686647] [  5]  73.50-74.00  sec  13.8 MBytes   231 Mbits/sec  0.052 ms  11847/22153 (53%)  
