Start time: 1716923220273
[2024-05-28 15:07:23.137659] Connecting to host 35.245.244.238, port 5201
[2024-05-28 15:07:23.138271] Reverse mode, remote host 35.245.244.238 is sending
[2024-05-28 15:07:23.138309] [  5] local 100.118.80.242 port 58248 connected to 35.245.244.238 port 5201
[2024-05-28 15:07:23.138340] [ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[2024-05-28 15:08:09.642589] [  5]  63.50-64.00  sec  6.84 KBytes   112 Kbits/sec  3.563 ms  22595/22600 (1e+02%)  
[2024-05-28 15:08:09.642691] [  5]  64.00-64.50  sec  6.84 KBytes   112 Kbits/sec  3.794 ms  22601/22606 (1e+02%)  
[2024-05-28 15:08:09.642794] [  5]  64.50-65.00  sec  5.47 KBytes  89.6 Kbits/sec  4.406 ms  20175/20179 (1e+02%)  
[2024-05-28 15:08:09.642894] [  5]  65.00-65.50  sec  6.84 KBytes   112 Kbits/sec  3.429 ms  22718/22723 (1e+02%)  
[2024-05-28 15:08:09.642995] [  5]  65.50-66.00  sec  6.84 KBytes   112 Kbits/sec  3.281 ms  22585/22590 (1e+02%)  
[2024-05-28 15:08:09.643093] [  5]  66.00-66.50  sec  6.84 KBytes   112 Kbits/sec  3.394 ms  22496/22501 (1e+02%)  
[2024-05-28 15:08:09.643194] [  5]  66.50-67.00  sec  6.84 KBytes   112 Kbits/sec  3.384 ms  22537/22542 (1e+02%)  
[2024-05-28 15:08:09.643296] [  5]  67.00-67.50  sec  6.84 KBytes   112 Kbits/sec  2.984 ms  22542/22547 (1e+02%)  
[2024-05-28 15:08:33.137984] [  5]  67.50-68.00  sec  6.84 KBytes   112 Kbits/sec  2.350 ms  22580/22585 (1e+02%)  
[2024-05-28 15:08:33.138561] [  5]  68.00-68.50  sec  6.84 KBytes   112 Kbits/sec  1.845 ms  22503/22508 (1e+02%)  
[2024-05-28 15:08:33.138714] [  5]  68.50-69.00  sec  6.84 KBytes   112 Kbits/sec  1.611 ms  22543/22548 (1e+02%)  
[2024-05-28 15:08:33.138834] [  5]  69.00-69.50  sec  6.84 KBytes   112 Kbits/sec  1.283 ms  22575/22580 (1e+02%)  
[2024-05-28 15:08:33.138943] [  5]  69.50-70.00  sec  6.84 KBytes   112 Kbits/sec  1.034 ms  22453/22458 (1e+02%)  
[2024-05-28 15:08:33.139048] [  5]  70.00-70.50  sec  6.84 KBytes   112 Kbits/sec  0.864 ms  22446/22451 (1e+02%)  
[2024-05-28 15:08:33.139151] [  5]  70.50-71.00  sec  6.84 KBytes   112 Kbits/sec  1.558 ms  22512/22517 (1e+02%)  
[2024-05-28 15:08:33.139252] [  5]  71.00-71.50  sec  6.84 KBytes   112 Kbits/sec  1.802 ms  22349/22354 (1e+02%)  
[2024-05-28 15:08:33.139355] [  5]  71.50-72.00  sec  6.84 KBytes   112 Kbits/sec  1.911 ms  22325/22330 (1e+02%)  
[2024-05-28 15:08:33.139457] [  5]  72.00-72.50  sec  6.84 KBytes   112 Kbits/sec  1.861 ms  22619/22624 (1e+02%)  
[2024-05-28 15:08:33.139565] [  5]  72.50-73.00  sec  6.84 KBytes   112 Kbits/sec  1.516 ms  22464/22469 (1e+02%)  
[2024-05-28 15:08:33.139668] [  5]  73.00-73.50  sec  5.47 KBytes  89.6 Kbits/sec  1.318 ms  18017/18021 (1e+02%)  
[2024-05-28 15:08:33.139770] [  5]  73.50-74.00  sec  6.84 KBytes   112 Kbits/sec  1.936 ms  22582/22587 (1e+02%)  
[2024-05-28 15:08:33.139869] [  5]  74.00-74.50  sec  6.84 KBytes   112 Kbits/sec  1.578 ms  22584/22589 (1e+02%)  
[2024-05-28 15:08:33.139970] [  5]  74.50-75.00  sec  6.84 KBytes   112 Kbits/sec  2.384 ms  22557/22562 (1e+02%)  
[2024-05-28 15:08:33.140083] [  5]  75.00-75.50  sec  6.84 KBytes   112 Kbits/sec  2.271 ms  22704/22709 (1e+02%)  
[2024-05-28 15:08:33.140185] [  5]  75.50-76.00  sec  6.84 KBytes   112 Kbits/sec  3.666 ms  22449/22454 (1e+02%)  
[2024-05-28 15:08:33.140287] [  5]  76.00-76.50  sec  6.84 KBytes   112 Kbits/sec  4.110 ms  22493/22498 (1e+02%)  
[2024-05-28 15:08:33.140390] [  5]  76.50-77.00  sec  6.84 KBytes   112 Kbits/sec  4.727 ms  22411/22416 (1e+02%)  
[2024-05-28 15:08:33.140494] [  5]  77.00-77.50  sec  6.84 KBytes   112 Kbits/sec  3.505 ms  22579/22584 (1e+02%)  
[2024-05-28 15:08:33.140600] [  5]  77.50-78.00  sec  6.84 KBytes   112 Kbits/sec  3.414 ms  22271/22276 (1e+02%)  
[2024-05-28 15:08:33.140701] [  5]  78.00-78.50  sec  6.84 KBytes   112 Kbits/sec  4.046 ms  22454/22459 (1e+02%)  
[2024-05-28 15:08:33.140805] [  5]  78.50-79.00  sec  6.84 KBytes   112 Kbits/sec  4.455 ms  22360/22365 (1e+02%)  
[2024-05-28 15:08:33.140906] [  5]  79.00-79.50  sec  6.84 KBytes   112 Kbits/sec  4.842 ms  22464/22469 (1e+02%)  
[2024-05-28 15:08:33.141007] [  5]  79.50-80.00  sec  6.84 KBytes   112 Kbits/sec  3.674 ms  22256/22261 (1e+02%)  
[2024-05-28 15:08:33.141109] [  5]  80.00-80.50  sec  6.84 KBytes   112 Kbits/sec  2.820 ms  22362/22367 (1e+02%)  
[2024-05-28 15:08:33.141216] [  5]  80.50-81.00  sec  6.84 KBytes   112 Kbits/sec  2.595 ms  22316/22321 (1e+02%)  
[2024-05-28 15:08:33.141318] [  5]  81.00-81.50  sec  6.84 KBytes   112 Kbits/sec  2.280 ms  22276/22281 (1e+02%)  
[2024-05-28 15:08:33.141423] [  5]  81.50-82.00  sec  6.84 KBytes   112 Kbits/sec  3.159 ms  22447/22452 (1e+02%)  
[2024-05-28 15:08:33.141525] [  5]  82.00-82.50  sec  6.84 KBytes   112 Kbits/sec  2.723 ms  22584/22589 (1e+02%)  
[2024-05-28 15:08:33.141887] [  5]  82.50-83.00  sec  6.84 KBytes   112 Kbits/sec  2.134 ms  22606/22611 (1e+02%)  
[2024-05-28 15:08:33.142011] [  5]  83.00-83.50  sec  6.84 KBytes   112 Kbits/sec  1.742 ms  22388/22393 (1e+02%)  
[2024-05-28 15:08:33.142121] [  5]  83.50-84.00  sec  6.84 KBytes   112 Kbits/sec  1.381 ms  22494/22499 (1e+02%)  
[2024-05-28 15:08:33.142224] [  5]  84.00-84.50  sec  6.84 KBytes   112 Kbits/sec  1.207 ms  22498/22503 (1e+02%)  
[2024-05-28 15:08:33.142333] [  5]  84.50-85.00  sec  6.84 KBytes   112 Kbits/sec  0.926 ms  22671/22676 (1e+02%)  
[2024-05-28 15:08:33.142434] [  5]  85.00-85.50  sec  6.84 KBytes   112 Kbits/sec  1.199 ms  22628/22633 (1e+02%)  
[2024-05-28 15:08:33.142554] [  5]  85.50-86.00  sec  6.84 KBytes   112 Kbits/sec  2.242 ms  22647/22652 (1e+02%)  
[2024-05-28 15:08:33.142662] [  5]  86.00-86.50  sec  5.47 KBytes  89.6 Kbits/sec  3.156 ms  18240/18244 (1e+02%)  
[2024-05-28 15:08:33.142764] [  5]  86.50-87.00  sec  6.84 KBytes   112 Kbits/sec  3.460 ms  22714/22719 (1e+02%)  
